Subject ID,Slice Index,label,sequence
sub840672_301_t2_flair_new,0,0,flair
sub840672_301_t2_flair_new,1,0,flair
sub840672_301_t2_flair_new,2,0,flair
sub840672_301_t2_flair_new,3,0,flair
sub840672_301_t2_flair_new,4,0,flair
sub840672_301_t2_flair_new,5,0,flair
sub840672_301_t2_flair_new,6,0,flair
sub840672_301_t2_flair_new,7,0,flair
sub900448_401_t2_flair,0,0,flair
sub900448_401_t2_flair,1,0,flair
sub900448_401_t2_flair,2,0,flair
sub900448_401_t2_flair,3,0,flair
sub900448_401_t2_flair,4,0,flair
sub900448_401_t2_flair,5,0,flair
sub900448_401_t2_flair,6,0,flair
sub900448_401_t2_flair,7,0,flair
sub150693_401_t2_flair,0,0,flair
sub150693_401_t2_flair,1,0,flair
sub150693_401_t2_flair,2,0,flair
sub150693_401_t2_flair,3,0,flair
sub150693_401_t2_flair,4,0,flair
sub150693_401_t2_flair,5,0,flair
sub150693_401_t2_flair,6,0,flair
sub150693_401_t2_flair,7,0,flair
sub834561_701_t2_flair,0,0,flair
sub834561_701_t2_flair,1,0,flair
sub834561_701_t2_flair,2,0,flair
sub834561_701_t2_flair,3,0,flair
sub834561_701_t2_flair,4,0,flair
sub834561_701_t2_flair,5,0,flair
sub834561_701_t2_flair,6,0,flair
sub342821_301_t2_flair_ax,0,0,flair
sub342821_301_t2_flair_ax,1,0,flair
sub342821_301_t2_flair_ax,2,0,flair
sub342821_301_t2_flair_ax,3,0,flair
sub342821_301_t2_flair_ax,4,0,flair
sub342821_301_t2_flair_ax,5,0,flair
sub342821_301_t2_flair_ax,6,0,flair
sub342821_301_t2_flair_ax,7,0,flair
sub512215_9_fast_ax_t2_flair,0,0,flair
sub512215_9_fast_ax_t2_flair,1,0,flair
sub512215_9_fast_ax_t2_flair,2,0,flair
sub512215_9_fast_ax_t2_flair,3,0,flair
sub512215_9_fast_ax_t2_flair,4,0,flair
sub512215_9_fast_ax_t2_flair,5,0,flair
sub512215_9_fast_ax_t2_flair,6,0,flair
sub512215_9_fast_ax_t2_flair,7,0,flair
sub057918_301_t2_flair_new,0,0,flair
sub057918_301_t2_flair_new,1,0,flair
sub057918_301_t2_flair_new,2,0,flair
sub057918_301_t2_flair_new,3,0,flair
sub057918_301_t2_flair_new,4,0,flair
sub057918_301_t2_flair_new,5,0,flair
sub057918_301_t2_flair_new,6,0,flair
sub057918_301_t2_flair_new,7,0,flair
sub214067_401_t2_flair,0,0,flair
sub214067_401_t2_flair,1,0,flair
sub214067_401_t2_flair,2,0,flair
sub214067_401_t2_flair,3,0,flair
sub214067_401_t2_flair,4,0,flair
sub214067_401_t2_flair,5,0,flair
sub214067_401_t2_flair,6,0,flair
sub214067_401_t2_flair,7,0,flair
sub956957_401_t2_flair,0,0,flair
sub956957_401_t2_flair,1,0,flair
sub956957_401_t2_flair,2,0,flair
sub956957_401_t2_flair,3,0,flair
sub956957_401_t2_flair,4,0,flair
sub956957_401_t2_flair,5,0,flair
sub956957_401_t2_flair,6,0,flair
sub956957_401_t2_flair,7,0,flair
sub851314_301_t2_flair_new,0,0,flair
sub851314_301_t2_flair_new,1,0,flair
sub851314_301_t2_flair_new,2,0,flair
sub851314_301_t2_flair_new,3,0,flair
sub851314_301_t2_flair_new,4,0,flair
sub851314_301_t2_flair_new,5,0,flair
